title,year,minutes,genres,rating,votes,director,cast
Eye of the Needle,1981,112,"Romance,Thriller,War",7.1,13302,Richard Marquand,"Donald Sutherland,Kate Nelligan,Stephen MacKenna,Philip Martin Brown,Christopher Cazenove"
Mephisto,1981,146,Drama,7.7,12042,István Szabó,"Klaus Maria Brandauer,Ildikó Bánsági,Krystyna Janda,Rolf Hoppe,György Cserhalmi"
Wolfen,1981,115,"Horror,Thriller",6.3,11961,Michael Wadleigh,"Albert Finney,Diane Venora,Edward James Olmos,Gregory Hines,Tom Noonan"
Happy Birthday to Me,1981,110,"Horror,Mystery,Thriller",6,11848,J. Lee Thompson,"Melissa Sue Anderson,Glenn Ford,Lawrence Dane,Sharon Acker,Frances Hyland"
Cannibal Ferox,1981,93,"Adventure,Horror",5.1,11216,Umberto Lenzi,"Giovanni Lombardo Radice,Lorraine De Selle,Danilo Mattei,Zora Kerova,Walter Lucchini"
La Chèvre,1981,91,"Adventure,Comedy,Crime",7.3,11212,Francis Veber,"Pierre Richard,Gérard Depardieu,Pedro Armendáriz Jr.,Corynne Charbit,Maritza Olivares"
Ragtime,1981,155,Drama,7.3,11059,Milos Forman,"James Cagney,Elizabeth McGovern,Howard E. Rollins Jr.,Brad Dourif,Moses Gunn"
Ghost Story,1981,110,"Drama,Horror,Thriller",6.3,10419,John Irvin,"Craig Wasson,Craig Wasson,Alice Krige,Alice Krige,Fred Astaire"
Endless Love,1981,116,"Drama,Romance",4.9,10132,Franco Zeffirelli,"Brooke Shields,Martin Hewitt,Shirley Knight,Don Murray,Richard Kiley"
Prince of the City,1981,167,"Crime,Drama",7.4,10059,Sidney Lumet,"Treat Williams,Jerry Orbach,Richard Foronjy,Don Billett,Kenny Marino"
The Cabbage Soup,1981,102,"Comedy,Sci-Fi",6.5,10031,Jean Girault,"Louis de Funès,Jean Carmet,Jacques Villeret,Claude Gensac,Henri Génès"
Road Games,1981,101,"Mystery,Thriller",6.6,10006,Richard Franklin,"Stacy Keach,Jamie Lee Curtis,Marion Edward,Grant Page,Thaddeus Smith"
Galaxy of Terror,1981,81,"Action,Adventure,Horror",5,9748,Bruce D. Clark,"Edward Albert,Erin Moran,Ray Walston,Bernard Behrens,Zalman King"
Polyester,1981,86,Comedy,7,9616,John Waters,"Divine,Tab Hunter,Edith Massey,David Samson,Mary Garlington"
Davaro,1981,94,Comedy,8.1,9538,Kartal Tibet,"Kemal Sunal,Sener Sen,Pembe Mutlu,Adile Nasit,Aysen Gruda"
True Confessions,1981,108,"Crime,Drama",6.3,9395,Ulu Grosbard,"Robert De Niro,Robert Duvall,Charles Durning,Kenneth McMillan,Ed Flanders"
Hell Night,1981,101,"Horror,Thriller",5.6,9299,Tom DeSimone,"Linda Blair,Vincent Van Patten,Peter Barton,Kevin Brophy,Jenny Neumann"
