title,year,minutes,genres,rating,votes,director,cast
Milk,2008,128,"Biography,Drama,History",7.5,182467,Gus Van Sant,"Sean Penn,Josh Brolin,Emile Hirsch,Diego Luna,James Franco"
The Day the Earth Stood Still,2008,104,"Adventure,Drama,Sci-Fi",5.5,182336,Scott Derrickson,"Keanu Reeves,Jennifer Connelly,Kathy Bates,Jaden Smith,John Cleese"
Transporter 3,2008,104,"Action,Thriller",6.1,181103,Olivier Megaton,"Jason Statham,Robert Knepper,Natalya Rudakova,François Berléand,Jeroen Krabbé"
27 Dresses,2008,111,"Comedy,Romance",6.1,180451,Anne Fletcher,"Katherine Heigl,James Marsden,Malin Akerman,Brian Kerwin,Charli Barcena"
"Definitely, Maybe",2008,112,"Comedy,Drama,Romance",7.1,177982,Adam Brooks,"Ryan Reynolds,Rachel Weisz,Abigail Breslin,An Nguyen,Matthew Mason"
The Mummy: Tomb of the Dragon Emperor,2008,112,"Action,Adventure,Fantasy",5.2,175102,Rob Cohen,"Brendan Fraser,Jet Li,Maria Bello,Michelle Yeoh,John Hannah"
Ponyo,2008,101,"Adventure,Animation,Comedy",7.6,173542,Hayao Miyazaki,"Cate Blanchett,Cate Blanchett,Matt Damon,Matt Damon,Liam Neeson"
Marley & Me,2008,115,"Drama,Family",7,171611,David Frankel,"Owen Wilson,Jennifer Aniston,Eric Dane,Kathleen Turner,Alan Arkin"
Defiance,2008,137,"Action,Drama,History",7.1,158383,Edward Zwick,"Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Allan Corduner"
Vantage Point,2008,90,"Action,Drama,Thriller",6.6,155759,Pete Travis,"Dennis Quaid,Forest Whitaker,Matthew Fox,Bruce McGill,Edgar Ramírez"
Horton Hears a Who!,2008,86,"Adventure,Animation,Comedy",6.8,154179,Jimmy Hayward,"Jim Carrey,Steve Carell,Carol Burnett,Will Arnett,Seth Rogen"
The Strangers,2008,86,"Horror,Mystery,Thriller",6.1,151117,Bryan Bertino,"Scott Speedman,Liv Tyler,Gemma Ward,Alex Fisher,Peter Clayton-Luce"
Bronson,2008,92,"Action,Crime,Drama",7,144482,Nicolas Winding Refn,"Tom Hardy,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker"
Harold & Kumar Escape from Guantanamo Bay,2008,114,"Adventure,Comedy",6.5,143925,Jon Hurwitz,"John Cho,Kal Penn,Neil Patrick Harris,Rob Corddry,Jack Conley"
Saw V,2008,92,"Horror,Thriller",5.8,142890,David Hackl,"Scott Patterson,Costas Mandylor,Tobin Bell,Tobin Bell,Betsy Russell"
Doubt,2008,104,"Drama,Mystery",7.5,140974,John Patrick Shanley,"Meryl Streep,Philip Seymour Hoffman,Amy Adams,Viola Davis,Alice Drummond"
"10,000 BC",2008,109,"Action,Adventure,Drama",5.1,137390,Roland Emmerich,"Camilla Belle,Steven Strait,Marco Khan,Cliff Curtis,Joel Virgel"
Journey to the Center of the Earth,2008,93,"Action,Adventure,Family",5.8,135679,Eric Brevig,"Brendan Fraser,Josh Hutcherson,Aníta Briem,Seth Meyers,Jean Michel Paré"
Max Payne,2008,100,"Action,Crime,Drama",5.3,131935,John Moore,"Mark Wahlberg,Mila Kunis,Beau Bridges,Ludacris,Chris O'Donnell"
Australia,2008,165,"Adventure,Drama,Romance",6.6,131856,Baz Luhrmann,"Nicole Kidman,Hugh Jackman,Shea Adams,Eddie Baroo,Ray Barrett"
Sex and the City,2008,145,"Comedy,Drama,Romance",5.7,130172,Michael Patrick King,"Sarah Jessica Parker,Kim Cattrall,Cynthia Nixon,Kristin Davis,Chris Noth"
Street Kings,2008,109,"Action,Crime,Thriller",6.8,123487,David Ayer,"Keanu Reeves,Forest Whitaker,Hugh Laurie,Chris Evans,Cedric The Entertainer"
The Other Boleyn Girl,2008,115,"Biography,Drama,History",6.7,123036,Justin Chadwick,"Natalie Portman,Scarlett Johansson,Eric Bana,Jim Sturgess,Mark Rylance"
The Wave,2008,107,"Drama,Thriller",7.6,118120,Dennis Gansel,"Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,Christiane Paul"
Mirrors,2008,110,"Horror,Mystery",6.1,116348,Alexandre Aja,"Kiefer Sutherland,Paula Patton,Amy Smart,Cameron Boyce,Arika Gluck"
Frost/Nixon,2008,122,"Biography,Drama,History",7.6,114325,Ron Howard,"Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell,Matthew Macfadyen"
Meet the Spartans,2008,87,"Comedy,Fantasy",2.8,113263,Jason Friedberg,"Sean Maguire,Kevin Sorbo,Carmen Electra,Ken Davitian,Diedrich Bader"
Martyrs,2008,99,Horror,7,112960,Pascal Laugier,"Morjana Alaoui,Mylène Jampanoï,Catherine Bégin,Robert Toupin,Patricia Tulasne"
The Forbidden Kingdom,2008,104,"Action,Adventure,Fantasy",6.5,111387,Rob Minkoff,"Jackie Chan,Jackie Chan,Jet Li,Jet Li,Michael Angarano"
Never Back Down,2008,113,"Action,Drama,Sport",6.5,108745,Jeff Wadlow,"Sean Faris,Djimon Hounsou,Amber Heard,Cam Gigandet,Evan Peters"
The Spiderwick Chronicles,2008,96,"Action,Adventure,Drama",6.5,105643,Mark Waters,"Freddie Highmore,Freddie Highmore,Sarah Bolger,David Strathairn,Mary-Louise Parker"
Bedtime Stories,2008,99,"Adventure,Comedy,Family",6,103559,Adam Shankman,"Adam Sandler,Keri Russell,Courteney Cox,Guy Pearce,Russell Brand"
Eden Lake,2008,91,"Horror,Thriller",6.7,101481,James Watkins,"Kelly Reilly,Michael Fassbender,Tara Ellis,Jack O'Connell,Finn Atkins"
"Synecdoche, New York",2008,124,Drama,7.5,101204,Charlie Kaufman,"Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,Sadie Goldstein"
Babylon A.D.,2008,90,"Action,Adventure,Sci-Fi",5.5,99478,Mathieu Kassovitz,"Vin Diesel,Michelle Yeoh,Mélanie Thierry,Gérard Depardieu,Charlotte Rampling"
Nick and Norah's Infinite Playlist,2008,90,"Comedy,Drama,Music",6.6,96317,Peter Sollett,"Michael Cera,Kat Dennings,Aaron Yoo,Rafi Gavron,Ari Graynor"
Disaster Movie,2008,87,"Comedy,Sci-Fi",1.9,96164,Jason Friedberg,"Carmen Electra,Vanessa Lachey,Nicole Parker,Nicole Parker,Nicole Parker"
Be Kind Rewind,2008,102,Comedy,6.4,95309,Michel Gondry,"Jack Black,Yasiin Bey,Danny Glover,Mia Farrow,Melonie Diaz"
The X Files: I Want to Believe,2008,104,"Crime,Drama,Horror",5.9,95123,Chris Carter,"David Duchovny,Gillian Anderson,Billy Connolly,Amanda Peet,Xzibit"
Sex Drive,2008,109,"Comedy,Romance",6.5,93809,Sean Anders,"Josh Zuckerman,Clark Duke,Amanda Crew,James Marsden,Seth Green"
Righteous Kill,2008,101,"Crime,Mystery,Thriller",6,93749,Jon Avnet,"Robert De Niro,Al Pacino,Carla Gugino,50 Cent,John Leguizamo"
Step Up 2: The Streets,2008,98,"Drama,Music,Romance",6.2,92737,Jon M. Chu,"Robert Hoffman,Briana Evigan,Cassie Ventura,Adam Sevani,Danielle Polanco"
The House Bunny,2008,97,Comedy,5.6,92682,Fred Wolf,"Anna Faris,Colin Hanks,Emma Stone,Kat Dennings,Hugh Hefner"
The Duchess,2008,110,"Biography,Drama,History",6.9,88730,Saul Dibb,"Keira Knightley,Ralph Fiennes,Dominic Cooper,Charlotte Rampling,Hayley Atwell"
Semi-Pro,2008,91,"Comedy,Sport",5.8,87664,Kent Alterman,"Will Ferrell,Woody Harrelson,André 3000,Maura Tierney,Andy Daly"
The Ruins,2008,90,"Adventure,Horror,Thriller",5.9,87323,Carter Smith,"Shawn Ashmore,Jena Malone,Jonathan Tucker,Laura Ramsey,Joe Anderson"
Fool's Gold,2008,112,"Action,Adventure,Comedy",5.7,86777,Andy Tennant,"Matthew McConaughey,Kate Hudson,Donald Sutherland,Alexis Dziena,Ewen Bremner"
Felon,2008,104,"Action,Drama,Thriller",7.4,85781,Ric Roman Waugh,"Stephen Dorff,Marisol Nichols,Vincent Miller,Anne Archer,Larnell Stovall"
Four Christmases,2008,88,"Comedy,Drama,Romance",5.7,84749,Seth Gordon,"Reese Witherspoon,Vince Vaughn,Mary Steenburgen,Robert Duvall,Sissy Spacek"
A Wednesday,2008,104,"Action,Crime,Drama",8.1,83901,Neeraj Pandey,"Anupam Kher,Naseeruddin Shah,Virendra Saxena,Mahesh Kanual,Gaurav Kapoor"
Inkheart,2008,106,"Adventure,Family,Fantasy",6.1,83814,Iain Softley,"Brendan Fraser,Andy Serkis,Eliza Bennett,Sienna Guillory,Richard Strange"
Doomsday,2008,105,"Action,Sci-Fi,Thriller",5.9,81205,Neil Marshall,"Rhona Mitra,Bob Hoskins,Alexander Siddig,Caryn Peterson,Adeola Ariyo"
Speed Racer,2008,135,"Action,Adventure,Comedy",6.1,80436,Lana Wachowski,"Emile Hirsch,Matthew Fox,Christina Ricci,Nicholas Elia,Susan Sarandon"
Quarantine,2008,89,"Horror,Sci-Fi,Thriller",6,80243,John Erick Dowdle,"Jennifer Carpenter,Steve Harris,Columbus Short,Jay Hernandez,Johnathon Schaech"
Outlander,2008,115,"Action,Adventure,Sci-Fi",6.2,80032,Howard McCain,"Jim Caviezel,Sophia Myles,Ron Perlman,Jack Huston,John Hurt"
Superhero Movie,2008,75,"Action,Comedy,Sci-Fi",4.7,79370,Craig Mazin,"Drake Bell,Leslie Nielsen,Sara Paxton,Christopher McDonald,Kevin Hart"
Ghost Town,2008,102,"Comedy,Drama,Fantasy",6.7,79205,David Koepp,"Ricky Gervais,Greg Kinnear,Téa Leoni,Jordan Carlos,Dequina Moore"
Made of Honor,2008,101,"Comedy,Romance",5.8,77805,Paul Weiland,"Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Kadeem Hardison,Chris Messina"
The Chaser,2008,125,"Action,Crime,Drama",7.8,76180,Na Hong-jin,"Kim Yoon-seok,Ha Jung-woo,Seo Young-hee,Kim Yoo-jung,Jeong In-gi"
Blindness,2008,121,"Drama,Mystery,Thriller",6.5,76155,Fernando Meirelles,"Julianne Moore,Mark Ruffalo,Gael García Bernal,Gael García Bernal,Yûsuke Iseya"
Star Wars: The Clone Wars,2008,98,"Action,Adventure,Animation",5.9,76032,Dave Filoni,"Matt Lanter,Nika Futterman,Nika Futterman,Tom Kane,Tom Kane"
Sunshine Cleaning,2008,91,"Comedy,Drama",6.8,75185,Christine Jeffs,"Amy Adams,Emily Blunt,Alan Arkin,Jason Spevack,Steve Zahn"
Hunger,2008,96,"Biography,Crime,Drama",7.5,75063,Steve McQueen,"Michael Fassbender,Liam Cunningham,Stuart Graham,Laine Megaw,Brian Milligan"
The Midnight Meat Train,2008,100,"Horror,Mystery,Thriller",6,73376,Ryûhei Kitamura,"Vinnie Jones,Bradley Cooper,Leslie Bibb,Brooke Shields,Roger Bart"
How to Lose Friends & Alienate People,2008,110,"Biography,Comedy,Drama",6.4,71421,Robert B. Weide,"Simon Pegg,Kirsten Dunst,Megan Fox,Kelan Guy,Danny Huston"
City of Ember,2008,90,"Adventure,Drama,Family",6.4,71357,Gil Kenan,"Saoirse Ronan,Toby Jones,Bill Murray,David Ryall,Harry Treadaway"
High School Musical 3: Senior Year,2008,112,"Comedy,Drama,Family",5,69805,Kenny Ortega,"Zac Efron,Vanessa Hudgens,Ashley Tisdale,Lucas Grabeel,Corbin Bleu"
Ghajini,2008,186,"Action,Mystery,Thriller",7.4,68932,A.R. Murugadoss,"Aamir Khan,Aamir Khan,Asin Thottumkal,Jiah Khan,Aamir Naik"
Punisher: War Zone,2008,103,"Action,Crime,Drama",5.9,68896,Lexi Alexander,"Ray Stevenson,Dominic West,Dominic West,Julie Benz,Doug Hutchison"
Appaloosa,2008,115,"Crime,Drama,Romance",6.7,66254,Ed Harris,"Ed Harris,Viggo Mortensen,Renée Zellweger,Jeremy Irons,Robert Jauregui"
Wild Child,2008,98,Comedy,6.1,66210,Nick Moore,"Emma Roberts,Aidan Quinn,Natasha Richardson,Lexi Ainsworth,Shelby Young"
Pride and Glory,2008,130,"Crime,Drama,Thriller",6.6,64565,Gavin O'Connor,"Edward Norton,Colin Farrell,Noah Emmerich,Jon Voight,Jennifer Ehle"
The Spirit,2008,103,"Action,Crime,Fantasy",4.7,63561,Frank Miller,"Gabriel Macht,Samuel L. Jackson,Scarlett Johansson,Jaime King,Dan Gerrity"
Drillbit Taylor,2008,110,"Action,Comedy,Crime",5.7,63219,Steven Brill,"Owen Wilson,Josh Peck,Alex Frost,Nate Hartley,Troy Gentile"
Waltz with Bashir,2008,90,"Animation,Biography,Documentary",8,61624,Ari Folman,"Miki Leon,Yehezkel Lazarov"
Religulous,2008,101,"Comedy,Documentary,War",7.6,60662,Larry Charles,NA
Traitor,2008,114,"Action,Crime,Drama",6.9,60028,Jeffrey Nachmanoff,"Don Cheadle,Guy Pearce,Archie Panjabi,Saïd Taghmaoui,Neal McDonough"
Man on Wire,2008,94,"Biography,Crime,Documentary",7.7,59654,James Marsh,NA
Bangkok Dangerous,2008,99,"Action,Crime,Thriller",5.3,58926,Danny Pang,"Nicolas Cage,Charlie Yeung,Shahkrit Yamnarm,Panward Hemmanee,Nirattisai Kaljareuk"
The Eye,2008,98,"Horror,Mystery",5.4,57724,David Moreau,"Jessica Alba,Alessandro Nivola,Parker Posey,Rade Serbedzija,Fernanda Romero"
Lakeview Terrace,2008,110,"Crime,Drama,Thriller",6.2,57624,Neil LaBute,"Samuel L. Jackson,Patrick Wilson,Kerry Washington,Ron Glass,Justin Chambers"
Departures,2008,130,Drama,8,56195,Yôjirô Takita,"Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,Kimiko Yo"
The Love Guru,2008,87,"Comedy,Romance,Sport",3.8,55894,Marco Schnabel,"Mike Myers,Mike Myers,Mike Myers,Jessica Alba,Romany Malco"
Rab Ne Bana Di Jodi,2008,167,"Comedy,Drama,Music",7.2,55838,Aditya Chopra,"Shah Rukh Khan,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina"
Transsiberian,2008,111,"Crime,Drama,Mystery",6.6,55584,Brad Anderson,"Woody Harrelson,Emily Mortimer,Ben Kingsley,Kate Mara,Eduardo Noriega"
Untraceable,2008,101,"Crime,Mystery,Thriller",6.2,53991,Gregory Hoblit,"Diane Lane,Colin Hanks,Joseph Cross,Billy Burke,Mary Beth Hurt"
The Brothers Bloom,2008,114,"Action,Adventure,Comedy",6.7,53297,Rian Johnson,"Rachel Weisz,Adrien Brody,Mark Ruffalo,Rinko Kikuchi,Robbie Coltrane"
"Food, Inc.",2008,94,"Documentary,News",7.8,52773,Robert Kenner,NA
Rachel Getting Married,2008,113,"Drama,Romance",6.7,52304,Jonathan Demme,"Anne Hathaway,Rosemarie DeWitt,Debra Winger,Sebastian Stan,Sebastian Stan"
Gomorrah,2008,137,"Crime,Drama",7,52172,Matteo Garrone,"Gianfelice Imparato,Salvatore Abbruzzese,Toni Servillo,Simone Sacchettino,Salvatore Ruocco"
W.,2008,129,"Biography,Comedy,Drama",6.3,50762,Oliver Stone,"Josh Brolin,Elizabeth Banks,Ioan Gruffudd,Colin Hanks,Toby Jones"
Red Cliff,2008,148,"Action,Adventure,Drama",7.3,49396,John Woo,"Tony Leung Chiu-wai,Takeshi Kaneshiro,Fengyi Zhang,Chang Chen,Wei Zhao"
"New York, I Love You",2008,103,"Comedy,Drama,Romance",6.2,48898,Fatih Akin,"Shia LaBeouf,Natalie Portman,Bradley Cooper,Hayden Christensen,Andy Garcia"
Che: Part One,2008,134,"Biography,Drama,History",7.1,48806,Steven Soderbergh,"Julia Ormond,Benicio Del Toro,Oscar Isaac,Pablo Guevara,Franklin Díaz"
Baby Mama,2008,99,"Comedy,Romance",6,48268,Michael McCullers,"Tina Fey,Amy Poehler,Sigourney Weaver,Greg Kinnear,Dax Shepard"
My Best Friend's Girl,2008,101,"Comedy,Romance",5.8,47271,Howard Deutch,"Kate Hudson,Dane Cook,Jason Biggs,Alec Baldwin,Diora Baird"
A.R.O.G,2008,127,"Comedy,Sci-Fi",7.4,46952,Ali Taner Baltaci,"Cem Yilmaz,Cem Yilmaz,Cem Yilmaz,Özge Özberk,Zafer Algöz"
Welcome to the Sticks,2008,106,"Comedy,Romance",7.1,46216,Dany Boon,"Kad Merad,Dany Boon,Zoé Félix,Lorenzo Ausilia-Foret,Anne Marivin"
Meet Dave,2008,90,"Adventure,Comedy,Family",5.1,44806,Brian Robbins,"Eddie Murphy,Eddie Murphy,Elizabeth Banks,Gabrielle Union,Scott Caan"
Two Lovers,2008,110,"Drama,Romance",7,44708,James Gray,"Joaquin Phoenix,Gwyneth Paltrow,Vinessa Shaw,Anne Joyce,Elliot Villar"
Dear Zachary: A Letter to a Son About His Father,2008,95,"Biography,Crime,Documentary",8.5,42888,Kurt Kuenne,NA
Splinter,2008,82,"Crime,Horror,Sci-Fi",6.1,42310,Toby Wilkins,"Shea Whigham,Jill Wagner,Paulo Costanzo,Charles Baker,Rachel Kerbs"
Happy-Go-Lucky,2008,118,"Comedy,Drama,Romance",7,41768,Mike Leigh,"Sally Hawkins,Alexis Zegerman,Samuel Roukin,Elliot Cowan,Andrea Riseborough"
Deception,2008,107,"Crime,Drama,Mystery",6,41594,Marcel Langenegger,"Hugh Jackman,Ewan McGregor,Michelle Williams,Bruce Altman,Andrew Ginsburg"
The Baader Meinhof Complex,2008,150,"Action,Biography,Crime",7.3,40915,Uli Edel,"Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Bruno Ganz,Jan Josef Liefers"
JCVD,2008,97,"Comedy,Crime,Drama",7,40853,Mabrouk El Mechri,"Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen,Huifang Wang"
Nothing But the Truth,2008,108,"Crime,Drama,Mystery",7.1,40716,Rod Lurie,"Kate Beckinsale,Matt Dillon,Vera Farmiga,Angela Bassett,Alan Alda"
The Tale of Despereaux,2008,93,"Adventure,Animation,Comedy",6.1,40689,Sam Fell,"Matthew Broderick,Emma Watson,Dustin Hoffman,Tracey Ullman,Kevin Kline"
The Rocker,2008,102,"Comedy,Music",6.2,40643,Peter Cattaneo,"Rainn Wilson,Josh Gad,Christina Applegate,Teddy Geiger,Emma Stone"
Passengers,2008,93,"Mystery,Romance,Thriller",5.8,40111,Rodrigo García,"Anne Hathaway,Patrick Wilson,David Morse,Andre Braugher,Dianne Wiest"
The Hottie & the Nottie,2008,91,"Comedy,Romance",2,39414,Tom Putnam,"Paris Hilton,Joel David Moore,Christine Lakin,Johann Urb,Adam Kulbersh"
Prom Night,2008,88,Horror,4,38900,Nelson McCormick,"Brittany Snow,Scott Porter,Jessica Stroup,Dana Davis,Collins Pennie"
The Good the Bad the Weird,2008,130,"Action,Adventure,Comedy",7.2,38817,Kim Jee-woon,"Song Kang-ho,Song Kang-ho,Lee Byung-hun,Lee Byung-hun,Jung Woo-sung"
Shutter,2008,85,"Horror,Mystery,Thriller",5.2,38610,Masayuki Ochiai,"Joshua Jackson,Rachael Taylor,James Kyson,Megumi Okina,David Denman"
Keith,2008,95,"Drama,Romance",7.3,37899,Todd Kessler,"Elisabeth Harnois,Jesse McCartney,Margo Harshman,Ignacio Serricchio,Michael McGrady"
Nim's Island,2008,96,"Adventure,Family,Fantasy",6,37552,Jennifer Flackett,"Jodie Foster,Gerard Butler,Gerard Butler,Abigail Breslin,Michael Carman"
The Class,2008,128,Drama,7.5,36956,Laurent Cantet,"François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Arthur Fogel,Boubacar Toure"
Pontypool,2008,93,"Horror,Sci-Fi",6.5,36881,Bruce McDonald,"Stephen McHattie,Lisa Houle,Georgina Reilly,Hrant Alianak,Rick Roberts"
Mesrine: Killer Instinct,2008,113,"Action,Biography,Crime",7.5,35903,Jean-François Richet,"Vincent Cassel,Cécile de France,Gérard Depardieu,Gilles Lellouche,Roy Dupuis"
Che: Part Two,2008,135,"Biography,Drama,History",6.8,35697,Steven Soderbergh,"Demián Bichir,Rodrigo Santoro,Benicio Del Toro,Catalina Sandino Moreno,María D. Sosa"
Jodhaa Akbar,2008,213,"Action,Drama,History",7.5,35563,Ashutosh Gowariker,"Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Poonam Sinha,Suhasini Mulay"
One Missed Call,2008,87,"Horror,Mystery",4,34663,Eric Valette,"Edward Burns,Shannyn Sossamon,Ana Claudia Talancón,Ray Wise,Azura Skye"
Choke,2008,92,"Comedy,Drama",6.4,34219,Clark Gregg,"Sam Rockwell,Anjelica Huston,Kelly Macdonald,Kathryn Alexander,Kathryn Alexander"
Pathology,2008,95,"Crime,Horror,Thriller",5.9,34058,Marc Schölermann,"Alyssa Milano,Milo Ventimiglia,Keir O'Donnell,Michael Weston,Lauren Lee Smith"
Leatherheads,2008,114,"Comedy,Drama,Romance",6,33944,George Clooney,"George Clooney,Renée Zellweger,John Krasinski,David de Vries,Rick Forrester"
Resident Evil: Degeneration,2008,98,"Action,Animation,Horror",6.4,33857,Makoto Kamiya,"Paul Mercier,Alyson Court,Laura Bailey,Roger Craig Smith,Crispin Freeman"
Asterix at the Olympic Games,2008,116,"Adventure,Comedy,Family",5.2,33692,Frédéric Forestier,"Gérard Depardieu,Clovis Cornillac,Benoît Poelvoorde,Alain Delon,Vanessa Hessler"
Lake Mungo,2008,87,"Drama,Horror,Mystery",6.2,33152,Joel Anderson,"Rosie Traynor,David Pledger,Martin Sharpe,Talia Zucker,Tania Lentini"
Ong Bak 2,2008,98,Action,6.2,32455,Tony Jaa,"Tony Jaa,Sarunyu Wongkrachang,Sorapong Chatree,Primrata Dej-Udom,Nirut Sirichanya"
Mesrine: Public Enemy No. 1,2008,133,"Action,Biography,Crime",7.4,31753,Jean-François Richet,"Vincent Cassel,Ludivine Sagnier,Mathieu Amalric,Samuel Le Bihan,Gérard Lanvin"
The Wackness,2008,99,"Comedy,Drama,Romance",6.9,31491,Jonathan Levine,"Josh Peck,Ben Kingsley,Olivia Thirlby,Famke Janssen,Mary-Kate Olsen"
The Sisterhood of the Traveling Pants 2,2008,119,"Comedy,Drama,Romance",6.2,31334,Sanaa Hamri,"America Ferrera,Alexis Bledel,Amber Tamblyn,Blake Lively,Rachel Nichols"
The Oxford Murders,2008,108,"Crime,Mystery,Thriller",6.1,31152,Álex de la Iglesia,"Elijah Wood,John Hurt,Leonor Watling,Jim Carter,Julie Cox"
"Angus, Thongs and Perfect Snogging",2008,100,"Comedy,Drama,Romance",6.3,30968,Gurinder Chadha,"Georgia Groome,Aaron Taylor-Johnson,Karen Taylor,Alan Davies,Eleanor Tomlinson"
Max Manus: Man of War,2008,118,"Action,Biography,Crime",7.3,30717,Joachim Rønning,"Aksel Hennie,Agnes Kittelsen,Nicolai Cleve Broch,Ken Duken,Christian Rubeck"
Miss Pettigrew Lives for a Day,2008,92,"Comedy,Romance",7,30164,Bharat Nalluri,"Frances McDormand,Amy Adams,Ciarán Hinds,David Alexander,Clare Clifford"
Recep Ivedik,2008,90,Comedy,4.9,30013,Togan Gökbakar,"Sahan Gökbakar,Onur Alp Tay,Fatma Toptas,Tulug Çizgen,Ismail Hakki Ürün"
What Just Happened,2008,104,"Comedy,Drama",5.6,28904,Barry Levinson,"Robert De Niro,John Turturro,Stanley Tucci,Sean Penn,Catherine Keener"
Jaane Tu... Ya Jaane Na,2008,155,"Comedy,Drama,Romance",7.4,28834,Abbas Tyrewala,"Imran Khan,Genelia Deshmukh,Manjari Fadnnis,Ayaz Khan,Karan Makhija"
The Secret Life of Bees,2008,114,Drama,7.2,28824,Gina Prince-Bythewood,"Dakota Fanning,Jennifer Hudson,Queen Latifah,Alicia Keys,Sophie Okonedo"
Open Season 2,2008,76,"Adventure,Animation,Comedy",5.5,27665,Matthew O'Callaghan,"Joel McHale,Mike Epps,Jane Krakowski,Billy Connolly,Crispin Glover"
Mutant Chronicles,2008,111,"Action,Adventure,Mystery",5.2,27435,Simon Hunter,"Thomas Jane,Ron Perlman,Devon Aoki,Sean Pertwee,Benno Fürmann"
Repo! The Genetic Opera,2008,98,"Horror,Musical,Sci-Fi",6.4,27346,Darren Lynn Bousman,"Paul Sorvino,Anthony Head,Anthony Head,Alexa PenaVega,Sarah Brightman"
Nights in Rodanthe,2008,97,"Drama,Romance",6,26890,George C. Wolfe,"Diane Lane,Richard Gere,Christopher Meloni,Viola Davis,Becky Ann Baker"
Frozen River,2008,97,"Crime,Drama",7.1,26821,Courtney Hunt,"Melissa Leo,Misty Upham,Charlie McDermott,Michael O'Keefe,Mark Boone Junior"
Beverly Hills Chihuahua,2008,91,"Adventure,Comedy,Drama",4,26629,Raja Gosnell,"Drew Barrymore,George Lopez,Piper Perabo,Manolo Cardona,Jamie Lee Curtis"
The Accidental Husband,2008,90,"Comedy,Romance",5.6,26076,Griffin Dunne,"Uma Thurman,Jeffrey Dean Morgan,Justina Machado,Colin Firth,Sam Shepard"
Over Her Dead Body,2008,95,"Comedy,Fantasy,Romance",5.3,25981,Jeff Lowell,"Eva Longoria,Paul Rudd,Lake Bell,Jason Biggs,Lindsay Sloane"
Loft,2008,118,"Crime,Drama,Mystery",7.3,25496,Erik Van Looy,"Koen De Bouw,Filip Peeters,Matthias Schoenaerts,Bruno Vanden Broecke,Koen De Graeve"
Fireproof,2008,122,"Drama,Romance",6.5,24850,Alex Kendrick,"Kirk Cameron,Erin Bethea,Ken Bevel,Stephen Dervan,Eric Young"
Igor,2008,87,"Animation,Comedy,Family",5.9,24667,Tony Leondis,"John Cusack,Molly Shannon,Steve Buscemi,Myleene Klass,Robin Howard"
Alone,2008,113,"Drama,Romance",6.8,23996,Çagan Irmak,"Cemal Hünal,Melis Birkan,Yildiz Kültür,Asli Aybars,Serif Bozkurt"
Cadillac Records,2008,109,"Biography,Drama,Music",7,23763,Darnell Martin,"Adrien Brody,Jeffrey Wright,Beyoncé,Columbus Short,Josh Alscher"
The Women,2008,114,"Comedy,Drama",5,23755,Diane English,"Meg Ryan,Eva Mendes,Annette Bening,Debra Messing,Jada Pinkett Smith"
Smart People,2008,95,"Comedy,Drama,Romance",6.1,23600,Noam Murro,"Dennis Quaid,Thomas Haden Church,Sarah Jessica Parker,Elliot Page,Ashton Holmes"
Three Monkeys,2008,109,Drama,7.3,23560,Nuri Bilge Ceylan,"Yavuz Bingöl,Hatice Aslan,Ahmet Rifat Sungar,Ercan Kesal,Cafer Köse"
Elegy,2008,112,"Drama,Romance",6.7,23515,Isabel Coixet,"Ben Kingsley,Penélope Cruz,Patricia Clarkson,Dennis Hopper,Peter Sarsgaard"
Mad Money,2008,104,"Comedy,Crime,Thriller",5.9,23452,Callie Khouri,"Diane Keaton,Queen Latifah,Katie Holmes,Ted Danson,Adam Rothenberg"
The Express,2008,130,"Biography,Drama,Sport",7.2,23207,Gary Fleder,"Rob Brown,Dennis Quaid,Clancy Brown,Darrin Dewitt Henson,Omar Benson Miller"
Strange Wilderness,2008,87,"Adventure,Comedy",5.2,23150,Fred Wolf,"Steve Zahn,Allen Covert,Justin Long,Jonah Hill,Kevin Heffernan"
Rock On!!,2008,145,"Drama,Music",7.7,23141,Abhishek Kapoor,"Arjun Rampal,Farhan Akhtar,Luke Kenny,Purab Kohli,Prachi Desai"
Easy Virtue,2008,97,"Comedy,Romance",6.6,22908,Stephan Elliott,"Jessica Biel,Ben Barnes,Kristin Scott Thomas,Colin Firth,Kimberley Nixon"
Last Chance Harvey,2008,93,"Drama,Romance",6.6,22868,Joel Hopkins,"Dustin Hoffman,Emma Thompson,Kathy Baker,Eileen Atkins,Liane Balaban"
